report_name,obj_url
Real Time Dashboard - TRAX update,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_trax.fex
Real-Time Dashboard Update,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_final.fex
Workload Extract - WAB (FTP),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/OPS_IT_-_WAB_Flight_List/workload_extract.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_netline_extract.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_flight_list.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_flt_val.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_fqtv_se_list.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_groups_list.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_avip_list.fex
Flight Watchlist and Flight Valuation Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_wcbw_list.fex
Disruption Code Breakdown Report (Weekly),/WFC/Repository/Ops_Analytics/OPS/Reports/Executive_Reports/Disruption_Code_Breakdown_Report/Disruption_Code_Breakdown_Report_v3.fex
Disruption Code Breakdown Report (Monthly),/WFC/Repository/Ops_Analytics/OPS/Reports/Executive_Reports/Disruption_Code_Breakdown_Report/Disruption_Code_Breakdown_Report_v3.fex
Corporate Communication Summary (HTML),/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Corp_comm_summary/corporate_comm_summary_html.fex
Weekly Executive OPS Performance Summary (EXCEL),/WFC/Repository/Ops_Analytics/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Composer.fex
Weekly Operational Performance Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Weekly_ops_perf/Weekly_OPS_Compose.fex
Casebank_AC_DELAY_roll_hist,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Casebank/Casebank_AC_DELAY_roll_hist.fex
Casebank_Defect_Info_roll_hist,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Info_roll_hist.fex
Casebank_Defect_Parts_roll_hist,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Parts_roll_hist.fex
Casebank_Defect_Troubleshooting_roll_hist,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Troubleshooting_roll_hist.fex
catering_fops_crew_cnt,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Catering_Crew_Counts/fops_emp_ftp.fex
