master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
H_DELAYRATE_DATA,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\h_delayrate_data.mas,,,,
JODYE_DATE_DIM_C_PMF,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\jodye_date_dim_c_pmf.mas,,,,
PMF_L_DEFECT_DATA_FLEET,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pmf_l_defect_data_fleet.mas,pmf_prepare_defect_data.fex,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pmf_prepare_defect_data.fex,,
PMF_L_DEFECT_DATA_SYSTEM,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pmf_l_defect_data_system.mas,pmf_prepare_defect_data.fex,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pmf_prepare_defect_data.fex,,
PRE_DATA,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pre_data.mas,pmf_prepare_defect_data.fex,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\pmf_prepare_defect_data.fex,,
SOC_FLIGHT_DELAY_DIM_C,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\soc_flight_delay_dim_c.mas,,,,
A220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a220.mas,,,,
A319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a319.mas,,,,
A319R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a319r.mas,,,,
A320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a320.mas,,,,
A320R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a320r.mas,,,,
A321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a321.mas,,,,
A321R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a321r.mas,,,,
A330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\a330.mas,,,,
AC,output\EDA\EDASERVE\ops_analytics\data\hold\acm\ac.mas,,,,
ACFT_DELAY,output\EDA\EDASERVE\ops_analytics\data\hold\acm\acft_delay.mas,ftps_reliability_graphs.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\Fleet_Management\FTPS\ftps_reliability_graphs.fex,,
ACTIVE_ACFT_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\active_acft_info.mas,,,,
ACTV_A220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a220.mas,,,,
ACTV_A319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a319.mas,,,,
ACTV_A319R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a319r.mas,,,,
ACTV_A320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a320.mas,,,,
ACTV_A320R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a320r.mas,,,,
ACTV_A321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a321.mas,,,,
ACTV_A321R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a321r.mas,,,,
ACTV_A330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_a330.mas,,,,
ACTV_B737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_b737.mas,,,,
ACTV_B767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_b767.mas,,,,
ACTV_B767R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_b767r.mas,,,,
ACTV_B777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_b777.mas,,,,
ACTV_B787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_b787.mas,,,,
ACTV_DLY_A220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a220.mas,,,,
ACTV_DLY_A319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a319.mas,,,,
ACTV_DLY_A319R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a319r.mas,,,,
ACTV_DLY_A320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a320.mas,,,,
ACTV_DLY_A320R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a320r.mas,,,,
ACTV_DLY_A321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a321.mas,,,,
ACTV_DLY_A321R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a321r.mas,,,,
ACTV_DLY_A330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_a330.mas,,,,
ACTV_DLY_B737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_b737.mas,,,,
ACTV_DLY_B767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_b767.mas,,,,
ACTV_DLY_B767R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_b767r.mas,,,,
ACTV_DLY_B777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_b777.mas,,,,
ACTV_DLY_B787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_b787.mas,,,,
ACTV_DLY_ERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_dly_erj190.mas,,,,
ACTV_ERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\actv_erj190.mas,,,,
ALLOT_PN_TO_REMOVE,output\EDA\EDASERVE\ops_analytics\data\hold\acm\allot_pn_to_remove.mas,,,,
ALLTGTS,output\EDA\EDASERVE\ops_analytics\data\hold\acm\alltgts.mas,,,,
