obj_url,output format
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_ETL.fex,N/A
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_final.fex,N/A
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_stats.fex,N/A
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_flt_list.fex,N/A
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_top4_stations.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPS_IT_-_WAB_Flight_List/workload_extract.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_netline_extract.fex,N/A
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_flight_list.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_flt_val.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_fqtv_se_list.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_groups_list.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_avip_list.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_wcbw_list.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_netline_lookup.fex,N/A
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_weekly_netline_extract.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Disruption_Code_Breakdown_Report/Disruption_Code_Breakdown_Report_v3.fex,Image
/ac_ops_11/OPS/Reports/Executive_Reports/Disruption_Code_Breakdown_Report/Disruption_Code_Breakdown_Report_v3.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Corp_comm_summary/corporate_comm_summary_html.fex,Web
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Composer.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Branch_Data_v2.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Carrier_Summary_v2.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Branch_Metrics.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Parameters.fex,N/A
/ac_ops_11/OPS/Reports/Executive_Reports/Weekly_Executive_OPS_Performance_Summary/Weekly_Executive_Branch_Data.fex,N/A
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Weekly_OPS_Compose.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Data_Extract/Ops_Perf_Data_Extract.fex,N/A
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_summary_v2.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_HUB.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_monitor.fex,Web
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_daily.fex,Web
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_dv.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_delays_over_3hrs.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Weekly_ops_perf/Report_Components/ops_perf_startup_dly_breakdown.fex,PDF
/ac_ops_11/OPS/Reports/Misc_Reports/Casebank/Casebank_AC_DELAY_roll_hist.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Info_roll_hist.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Parts_roll_hist.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/Casebank/Casebank_Defect_Troubleshooting_roll_hist.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Misc_Reports/Catering_Crew_Counts/fops_emp_ftp.fex,N/A
/ac_ops_11/OPS/Reports/Misc_Reports/Catering_Crew_Counts/ifs_emp_ftp.fex,N/A
/ac_ops_11/OPS/Reports/FOPs_Reports/FOPS_Metrics/AllPilots_Recency.fex,Excel/CSV
/ac_ops_11/OPS/Reports/FOPs_Reports/FOPS_Metrics/Jessicas_Recency_Report.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/JAZZ_FTP_Cancelled_Flights/jazz_ftp_cnl_flts.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/JAZZ_FTP_Operated_Flights/jazz_ftp_operated_flts.fex,Excel/CSV
/ac_ops_11/ACM/Reports/SR4/OMI_Reports/OMI_Daily_Snapshot_Report.fex,Excel/CSV
/ac_ops_11/ACM/Reports/SR4/OMI_Reports/OMI_Contribution_Report.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_email.fex,N/A
/ac_ops_11/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_excel.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_tab_dlmtd.fex,Excel/CSV
