Procedure Name,Procedure Path,Master Name,Master Path
FOPS_Synthetics.fex,/output/FOPs_Reports/FOPS_Metrics/FOPS_Synthetics.fex,pbs_ss_si_hold_all_temp,/output/fops/pbs_ss_si_hold_all_temp.mas
ifs_blocktime_citypair.fex,/output/IFS_Reports/IFS_Block_Time_Report/ifs_blocktime_citypair.fex,leg_flown,/output/ops/leg_flown.mas
Crew_Absence_Report.fex,/output/FOPs_Reports/FOPS_NLCREW_ABSCENCE_REPORT/Crew_Absence_Report.fex,fops_blk_month,/output/fops/fops_blk_month.mas
Crew_Absence_Report.fex,/output/FOPs_Reports/FOPS_NLCREW_ABSCENCE_REPORT/Crew_Absence_Report.fex,calendar,/output//calendar.mas
monthly_ferry_flight_report.fex,/output/OTP_Reports/Monthly_Ferry_Flight_Report/monthly_ferry_flight_report.fex,leg_flown,/output/ops/leg_flown.mas
Weekly_CNLs_YoY_Report_v2.fex,/output/Executive_Reports/Weekly_CNLs_YoY_Report/Weekly_CNLs_YoY_Report_v2.fex,leg_flown,/output/ops/leg_flown.mas
Weekly_CNLs_YoY_Report_v2.fex,/output/Executive_Reports/Weekly_CNLs_YoY_Report/Weekly_CNLs_YoY_Report_v2.fex,leg_incident,/output/ops/leg_incident.mas
portal_acm_data_add.fex,/output/ETLs/Portal_Upload/portal_acm_data_add.fex,targets_carrier_system,/output/ops/targets_carrier_system.mas
portal_acm_data_add.fex,/output/ETLs/Portal_Upload/portal_acm_data_add.fex,mel_master_detail,/output/acm/mel_master_detail.mas
portal_upload_stn_otp_stats_acm.fex,/output/ETLs/Portal_Upload/portal_upload_stn_otp_stats_acm.fex,dash_data,/output/ops/dash_data.mas
portal_upload_stn_otp_stats_acm.fex,/output/ETLs/Portal_Upload/portal_upload_stn_otp_stats_acm.fex,dash_data_sum,/output/ops/dash_data_sum.mas
portal_upload_stn_otp_stats_acm_working.fex,/output/ETLs/Portal_Upload/portal_upload_stn_otp_stats_acm_working.fex,calendar,/output//calendar.mas
portal_upload_stn_otp_stats_acm_working.fex,/output/ETLs/Portal_Upload/portal_upload_stn_otp_stats_acm_working.fex,targets_carrier_stn_dlycde,/output/ops/targets_carrier_stn_dlycde.mas
